"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"1","Bachelor's Degree",37565,37803,57017,45776
"2","Bachelor's Degree",27939,28428,41005,39703
"3","Bachelor's Degree",37614,33378,44483,36644
"4","Master's Degree",86172,85894,112719,92581
"5","Bachelor's Degree",31667,26042,48718,34141
"6","Bachelor's Degree",27623,28091,32890,37754
"7","Bachelor's Degree",45397,31472,47151,39566
"8","First Professional Degree",112457,98965,158365,132786
"9","Master's Degree",109783,83673,143082,107746
"10","Master's Degree",103306,99990,132891,108741
"11","Master's Degree",45735,53286,95589,71769
"12","Doctoral Degree",76051,70583,82135,68046
"13","Bachelor's Degree",57806,57950,78046,63952
"14","Master's Degree",123260,94066,140590,104745
"15","Bachelor's Degree",45377,39713,62587,51228
"16","Master's Degree",84206,60066,92640,92993
"17","Bachelor's Degree",42366,49809,54195,52280
"18","Master's Degree",57272,54425,74308,76132
"19","Bachelor's Degree",30432,41930,66395,45202
"20","Bachelor's Degree",67834,52404,75660,54719
"21","Bachelor's Degree",26065,19686,33656,33680
"22","Bachelor's Degree",30627,22213,45199,32026
"23","Bachelor's Degree",36597,31715,52521,42686
"24","Bachelor's Degree",32502,31076,35464,50288
"25","Bachelor's Degree",37866,40779,58786,53006
"26","Doctoral Degree",77497,79643,100645,82452
"27","Bachelor's Degree",31194,30932,49309,44259
"28","Bachelor's Degree",65959,64120,79769,70540
"29","Bachelor's Degree",42507,32606,40856,41740
"30","Master's Degree",54394,42084,72285,55302
"31","First Professional Degree",70821,68582,94782,79041
"32","Master's Degree",44633,42345,47243,48063
"33","Bachelor's Degree",45958,30177,45393,44275
"34","Bachelor's Degree",30443,28206,36963,40525
"35","Bachelor's Degree",38868,29910,51695,41669
"36","Master's Degree",47126,40753,48664,47834
"37","Bachelor's Degree",28727,25414,50078,50282
"38","Bachelor's Degree",61235,62184,86663,64138
"39","Bachelor's Degree",47144,44746,61870,53076
"40","Master's Degree",84689,78995,112289,98311
"41","Bachelor's Degree",51814,48940,69244,67462
"42","Bachelor's Degree",50740,55887,71405,73537
"43","Bachelor's Degree",38039,30838,46203,43927
"44","Bachelor's Degree",66815,74330,95500,95523
"45","Bachelor's Degree",54916,48924,72408,70478
"46","Bachelor's Degree",49349,46942,69167,60296
"47","Bachelor's Degree",26422,36164,47271,46336
"48","Bachelor's Degree",52984,46656,58987,50788
"49","Bachelor's Degree",48190,44494,61610,52355
"50","First Professional Degree",94662,87885,106317,104395
"51","Bachelor's Degree",34440,36434,39234,58420
"52","Bachelor's Degree",39253,40925,45893,43623
"53","Master's Degree",44459,47604,61855,55008
"54","Bachelor's Degree",70081,72870,82251,87223
"55","Bachelor's Degree",67038,70812,81773,82417
"56","Bachelor's Degree",24432,20084,67886,55389
"57","Bachelor's Degree",35574,32937,53433,34345
"58","Bachelor's Degree",26225,23933,40548,42845
"59","Bachelor's Degree",40709,44355,52919,46307
"60","First Professional Degree",112328,100661,135626,128170
"61","Bachelor's Degree",55460,50439,67812,52286
"62","Master's Degree",124876,106560,130681,121851
"63","Bachelor's Degree",58025,57156,69399,66204
"64","Master's Degree",60867,66280,84762,85420
"65","Bachelor's Degree",56071,47216,74449,63283
"66","Bachelor's Degree",46667,42840,65455,53053
"67","Bachelor's Degree",43937,37721,63266,45874
"68","Bachelor's Degree",30806,28007,34983,36477
"69","Bachelor's Degree",39721,34521,47234,39910
"70","Bachelor's Degree",48012,35961,47776,39434
"71","Master's Degree",48608,46488,83486,49279
"72","Associate's Degree",42052,37052,53825,40094
"73","Bachelor's Degree",70277,68077,87236,78337
"74","Master's Degree",101857,94240,114148,105648
"75","Bachelor's Degree",40514,35625,57998,41858
"76","Master's Degree",54751,50295,68506,53984
"77","Associate's Degree",33035,20356,37501,28535
"78","First Professional Degree",44850,48743,53705,56707
"79","Associate's Degree",51382,55538,65079,60390
"80","Associate's Degree",29314,23775,39235,29579
"81","Associate's Degree",55131,50641,55755,58088
"82","Bachelor's Degree",69568,43489,71148,51775
"83","Associate's Degree",49359,29843,52901,32277
"84","Associate's Degree",69199,64006,76826,65630
"85","Master's Degree",98282,98092,121594,113598
"86","Bachelor's Degree",54941,43868,66854,51140
"87","Master's Degree",60048,52307,61360,48600
"88","Bachelor's Degree",47304,36863,64065,42888
"89","Bachelor's Degree",29488,31598,39912,36558
"90","Master's Degree",63877,57384,71585,73099
"91","Bachelor's Degree",30661,23384,36768,41848
"92","Bachelor's Degree",36862,26228,46928,37156
"93","Bachelor's Degree",70951,61014,80811,62592
"94","Bachelor's Degree",45081,33815,48148,41126
"95","Associate's Degree",27607,24017,45891,29693
"96","Associate's Degree",62497,55333,73671,58429
"97","Associate's Degree",27890,25113,37151,32912
"98","Associate's Degree",28052,23877,38522,31106
"99","Master's Degree",64875,56782,72494,59893
"100","Master's Degree",53337,50579,56513,52253
"101","Bachelor's Degree",27841,24145,34335,37520
"102","Bachelor's Degree",38405,38487,45927,42124
"103","Bachelor's Degree",61916,54285,77816,60769
"104","Bachelor's Degree",40807,29282,45000,44354
"105","Master's Degree",83333,64091,92314,75212
"106","Associate's Degree",35231,17161,37692,30796
"107","Undergraduate Certificate or Diploma",19656,27906,31436,16465
"108","Doctoral Degree",52552,59344,79839,66990
"109","Doctoral Degree",110253,104430,131720,129457
"110","Master's Degree",122312,101138,160409,103224
"111","Associate's Degree",27887,19004,39684,31292
"112","Bachelor's Degree",28272,31721,44610,35278
"113","Bachelor's Degree",31475,22842,44250,42065
"114","Bachelor's Degree",28944,26690,38108,35349
"115","Bachelor's Degree",28975,26586,43217,37121
"116","Bachelor's Degree",33304,33125,47725,35901
"117","Bachelor's Degree",29797,31388,50135,37059
"118","Doctoral Degree",55552,56114,79112,119952
"119","Doctoral Degree",77370,73667,92864,79418
"120","Bachelor's Degree",66726,58443,68960,60270
"121","Master's Degree",115938,97601,130954,109240
"122","Bachelor's Degree",43868,35919,49141,45561
"123","Bachelor's Degree",39775,43462,57747,43369
"124","Bachelor's Degree",38565,30281,61578,47700
"125","Bachelor's Degree",35230,36533,49974,41550
"126","Bachelor's Degree",29955,30660,37983,35837
"127","Bachelor's Degree",47326,37854,50342,35952
"128","Bachelor's Degree",47248,38977,58578,46454
"129","Bachelor's Degree",47476,39109,64344,49101
"130","Master's Degree",65414,53798,76124,65585
"131","First Professional Degree",99343,90116,127280,98211
"132","Associate's Degree",27497,22054,41511,24211
"133","Associate's Degree",29970,29240,37664,31531
"134","Bachelor's Degree",50805,47155,58031,54686
"135","Bachelor's Degree",62084,57683,71480,60553
"136","Undergraduate Certificate or Diploma",33975,30569,37225,34041
"137","Undergraduate Certificate or Diploma",33633,30876,24864,32591
"138","Undergraduate Certificate or Diploma",17120,15502,27360,19726
"139","Undergraduate Certificate or Diploma",23785,23894,29479,26589
"140","Undergraduate Certificate or Diploma",28020,23570,31476,27483
"141","Undergraduate Certificate or Diploma",29761,26823,31763,29760
"142","Associate's Degree",49526,49976,61127,52822
"143","Undergraduate Certificate or Diploma",26084,20057,34413,23637
"144","Associate's Degree",71071,68828,90117,73915
"145","Undergraduate Certificate or Diploma",23785,23894,29479,26589
"146","Undergraduate Certificate or Diploma",28020,23570,31476,27483
"147","Undergraduate Certificate or Diploma",29761,26823,31763,29760
"148","Associate's Degree",49526,49976,61127,52822
"149","Undergraduate Certificate or Diploma",26084,20057,34413,23637
"150","Associate's Degree",71071,68828,90117,73915
"151","Undergraduate Certificate or Diploma",23785,23894,29479,26589
"152","Undergraduate Certificate or Diploma",28020,23570,31476,27483
"153","Undergraduate Certificate or Diploma",29761,26823,31763,29760
"154","Undergraduate Certificate or Diploma",26084,20057,34413,23637
"155","Associate's Degree",71071,68828,90117,73915
"156","Associate's Degree",18897,25653,34809,28357
"157","Undergraduate Certificate or Diploma",31133,24977,34470,28795
"158","Undergraduate Certificate or Diploma",32070,24206,36844,24686
"159","Undergraduate Certificate or Diploma",25961,25023,31946,27770
"160","Bachelor's Degree",76954,71263,91185,77279
"161","Undergraduate Certificate or Diploma",27371,21858,35537,28143
"162","Bachelor's Degree",40995,25776,46621,49104
"163","Master's Degree",65520,49753,66652,55671
"164","Bachelor's Degree",41519,32960,62668,55255
"165","Bachelor's Degree",44198,34885,52948,44417
"166","Bachelor's Degree",44475,40577,54541,51909
"167","Bachelor's Degree",35547,38796,48635,53103
"168","Bachelor's Degree",43230,26964,55478,41740
"169","Bachelor's Degree",65740,70727,88322,79256
"170","Bachelor's Degree",77602,77359,99780,102160
"171","Master's Degree",61156,52381,68590,56912
"172","Master's Degree",57956,53690,63491,58999
"173","Bachelor's Degree",43352,43694,48064,46172
"174","Master's Degree",46280,45520,57595,52044
"175","Bachelor's Degree",35180,34760,42108,40755
"176","Bachelor's Degree",51508,66525,79203,82091
"177","Bachelor's Degree",69271,75670,92514,90976
"178","Bachelor's Degree",66718,67630,79682,80992
"179","Bachelor's Degree",76132,84135,91398,102255
"180","Bachelor's Degree",70768,70600,88847,81671
"181","Master's Degree",79910,42876,67769,78159
"182","Bachelor's Degree",41486,32201,38648,39884
"183","Bachelor's Degree",37822,33260,40761,41875
"184","Bachelor's Degree",32078,32057,51870,40283
"185","Bachelor's Degree",42576,37661,50976,51921
"186","Doctoral Degree",64224,64521,99627,84821
"187","Master's Degree",50864,49898,73798,67392
"188","Bachelor's Degree",30703,31974,46097,41959
"189","Bachelor's Degree",48633,43986,69709,52107
"190","Bachelor's Degree",30556,28446,48739,44668
"191","Bachelor's Degree",33816,34971,48118,49827
"192","Bachelor's Degree",47372,45136,68554,61057
"193","Bachelor's Degree",40695,34619,48684,41967
"194","Bachelor's Degree",45279,37212,59406,49984
"195","Bachelor's Degree",33057,28278,42749,42173
"196","Bachelor's Degree",37150,33254,44448,51052
"197","Bachelor's Degree",62764,58387,73896,61602
"198","Bachelor's Degree",34353,34409,45857,44863
"199","Bachelor's Degree",41890,37028,57660,46529
"200","Master's Degree",74140,47723,77745,55010
"201","Master's Degree",66006,49129,73230,61339
"202","Bachelor's Degree",50685,42752,64307,49755
"203","Bachelor's Degree",38418,36992,48340,42965
"204","Master's Degree",53558,49758,58790,53973
"205","Bachelor's Degree",27974,31174,42434,41443
"206","Bachelor's Degree",47536,52981,61640,71676
"207","Bachelor's Degree",45511,41636,60149,43994
"208","Bachelor's Degree",41476,35599,59819,52525
"209","Bachelor's Degree",41292,36201,48301,43767
"210","Bachelor's Degree",33087,21396,42538,44715
"211","Bachelor's Degree",38958,38755,60914,54726
"212","Bachelor's Degree",17421,17573,40362,36417
"213","Bachelor's Degree",26739,32130,34309,39081
"214","Bachelor's Degree",23825,25235,41554,33430
"215","Bachelor's Degree",34030,32623,46091,47062
"216","Master's Degree",77389,75035,78004,72983
"217","Bachelor's Degree",78207,69323,87542,78949
"218","Bachelor's Degree",59729,50615,76568,66904
"219","Master's Degree",114551,87722,125461,110507
"220","Bachelor's Degree",55043,55159,74749,66558
"221","Master's Degree",58848,60721,76280,74776
"222","Bachelor's Degree",54880,57123,75055,73400
"223","Undergraduate Certificate or Diploma",59866,53981,81088,61351
"224","Master's Degree",90184,95466,118265,103968
"225","Bachelor's Degree",50271,44396,68836,66594
"226","Master's Degree",61105,62573,89131,81487
"227","Bachelor's Degree",47600,45553,64584,58810
"228","Bachelor's Degree",39052,30737,46312,38985
"229","Bachelor's Degree",49871,42741,64346,58930
"230","Bachelor's Degree",40643,29003,50882,38594
"231","Bachelor's Degree",40632,41755,48298,66673
"232","Bachelor's Degree",32876,36570,45584,51833
"233","Bachelor's Degree",77015,85142,101959,87323
"234","Bachelor's Degree",31696,23287,49107,44001
"235","Bachelor's Degree",34359,27993,54506,47141
"236","Bachelor's Degree",27447,21359,33290,45820
"237","Bachelor's Degree",36706,33455,48738,41078
"238","Bachelor's Degree",24309,25765,54583,46866
"239","Bachelor's Degree",57665,38231,76364,43912
"240","Bachelor's Degree",32401,32445,44360,44709
"241","Bachelor's Degree",35937,32344,64934,46001
"242","Bachelor's Degree",42961,40073,59123,42934
"243","Bachelor's Degree",45469,51351,68618,50416
"244","Bachelor's Degree",33375,32312,52862,53217
"245","Bachelor's Degree",19492,26235,27407,22717
"246","Bachelor's Degree",21791,30730,47276,45392
"247","Bachelor's Degree",30450,30677,36170,31152
"248","First Professional Degree",63727,63817,93276,122411
"249","First Professional Degree",107078,109689,136185,126506
"250","Bachelor's Degree",35242,34579,49033,47238
"251","Master's Degree",63591,53344,83214,70569
"252","Master's Degree",91423,77264,90451,92976
"253","Bachelor's Degree",52789,45645,75329,60345
"254","Master's Degree",109317,88796,116764,104941
"255","Bachelor's Degree",55729,60050,82282,73159
"256","Master's Degree",61469,59059,85800,69931
"257","Bachelor's Degree",57504,62258,87023,82314
"258","Bachelor's Degree",51804,49028,62217,66087
"259","Bachelor's Degree",63596,63791,79473,85414
"260","Bachelor's Degree",56420,49822,68764,68522
"261","Associate's Degree",21265,21317,36912,31206
"262","Associate's Degree",45604,43312,58497,58665
"263","Undergraduate Certificate or Diploma",18796,15804,23916,20331
"264","Undergraduate Certificate or Diploma",18796,15804,23916,20331
"265","Undergraduate Certificate or Diploma",22618,20595,23464,23126
"266","Undergraduate Certificate or Diploma",23619,19861,28023,24023
"267","Bachelor's Degree",68296,77299,86333,89122
"268","Bachelor's Degree",54249,49871,74194,65211
"269","Master's Degree",90004,76310,99027,79259
"270","Bachelor's Degree",61722,55944,79165,69770
"271","Associate's Degree",71647,67775,78154,75549
"272","Bachelor's Degree",41353,34252,42250,35380
"273","Master's Degree",89548,88459,101292,98312
"274","Master's Degree",78088,62687,72574,68099
"275","Master's Degree",61606,59174,65952,63665
"276","Doctoral Degree",88909,77127,73066,78736
"277","Bachelor's Degree",42125,38914,46697,40888
"278","Master's Degree",50820,48169,54983,50682
"279","Bachelor's Degree",41071,36497,43862,38463
"280","Master's Degree",46086,43738,53034,46562
"281","Doctoral Degree",64767,58210,59575,62779
"282","Master's Degree",62504,56872,80390,62906
"283","Bachelor's Degree",29928,28385,52896,41894
"284","Bachelor's Degree",31064,33439,46731,35819
"285","Bachelor's Degree",35518,26318,39955,32583
"286","Master's Degree",39878,41008,58685,38833
"287","Master's Degree",51695,45364,60485,48444
"288","Bachelor's Degree",39139,36932,53769,41302
"289","Master's Degree",63004,42542,52583,43919
"290","Bachelor's Degree",70282,61822,76881,55062
"291","Bachelor's Degree",39292,31182,47756,40702
"292","Bachelor's Degree",44212,30836,43637,33308
"293","Master's Degree",62656,56161,68316,57585
"294","Bachelor's Degree",40436,37840,40322,40789
"295","Bachelor's Degree",25969,26649,35070,34020
"296","Bachelor's Degree",50796,41612,55155,49376
"297","Master's Degree",67349,57383,84445,61301
"298","Bachelor's Degree",63518,53466,75969,59127
"299","Master's Degree",47798,44698,52479,47743
"300","Master's Degree",39471,53290,72582,58199
"301","Bachelor's Degree",95252,82753,101394,87330
"302","Master's Degree",117233,102172,128702,106779
"303","Bachelor's Degree",53505,47223,70382,49978
"304","Master's Degree",71132,64444,80041,73016
"305","Bachelor's Degree",50213,48655,63043,51952
"306","Master's Degree",60420,63104,80631,65279
"307","Bachelor's Degree",34231,39175,62063,38944
"308","Bachelor's Degree",48571,45826,74217,69408
"309","Bachelor's Degree",40480,41570,55917,46580
"310","Bachelor's Degree",43684,32167,51277,36825
"311","Associate's Degree",55996,46696,65793,59233
"312","Associate's Degree",75429,65548,81106,71634
"313","Associate's Degree",67524,58372,91900,66165
"314","Undergraduate Certificate or Diploma",34592,28871,41097,31242
"315","Bachelor's Degree",33860,28204,36144,38658
"316","Bachelor's Degree",40526,37356,46885,36472
"317","Bachelor's Degree",36697,33504,51397,47761
"318","Master's Degree",55918,53995,68142,57961
"319","Bachelor's Degree",44696,43265,44323,44941
"320","Master's Degree",48841,46225,58229,51438
"321","Bachelor's Degree",39014,41294,43864,43736
"322","Bachelor's Degree",41349,41659,48983,47500
"323","Master's Degree",53123,50908,61390,57108
"324","Bachelor's Degree",62458,53505,76596,88008
"325","Bachelor's Degree",25750,25883,39014,30111
"326","Bachelor's Degree",47117,36341,53058,46790
"327","Bachelor's Degree",32161,30869,45372,44946
"328","Bachelor's Degree",32888,33362,35585,43199
"329","Bachelor's Degree",30461,28699,46989,51777
"330","Bachelor's Degree",31665,36693,57607,53612
"331","Bachelor's Degree",59138,36846,61299,46700
"332","Bachelor's Degree",31192,32592,40912,40983
"333","Bachelor's Degree",38007,31326,50915,44816
"334","Bachelor's Degree",34781,33539,50171,48147
"335","Bachelor's Degree",32046,34447,49947,40935
"336","Master's Degree",95221,98428,119186,109279
"337","Bachelor's Degree",46825,37359,61457,48307
"338","Doctoral Degree",75134,71527,79231,75518
"339","Bachelor's Degree",70996,67041,82544,74830
"340","Bachelor's Degree",46686,41753,58291,46923
"341","Master's Degree",63830,61930,81629,76025
"342","Bachelor's Degree",44220,55867,69125,64406
"343","Bachelor's Degree",48954,51344,63296,56200
"344","Bachelor's Degree",39771,35788,49174,42026
"345","Bachelor's Degree",49892,44796,68791,66007
"346","Bachelor's Degree",45573,42450,65613,56205
"347","Undergraduate Certificate or Diploma",26839,22722,17911,22770
"348","Associate's Degree",32357,26978,41566,37179
"349","Associate's Degree",42921,29510,41609,37883
"350","Undergraduate Certificate or Diploma",35354,35966,46026,30778
"351","Associate's Degree",51967,45159,64034,48153
"352","Associate's Degree",66666,65468,73956,71921
"353","Associate's Degree",29152,28770,48083,44064
"354","Undergraduate Certificate or Diploma",22826,23384,31786,30514
"355","Associate's Degree",33387,32557,38994,36421
"356","Undergraduate Certificate or Diploma",30174,24855,35711,29844
"357","Undergraduate Certificate or Diploma",28838,27261,35535,31055
"358","Bachelor's Degree",59875,45055,84543,57702
"359","Undergraduate Certificate or Diploma",31074,29321,36387,32958
"360","Associate's Degree",45264,41247,49755,42459
"361","Associate's Degree",59766,55235,70323,61397
"362","Bachelor's Degree",83248,69799,93088,74239
"363","Undergraduate Certificate or Diploma",32131,27468,39735,31263
"364","Associate's Degree",65209,61544,71519,73472
"365","Undergraduate Certificate or Diploma",28693,27679,40566,34918
"366","Undergraduate Certificate or Diploma",26974,25466,28867,27678
"367","Associate's Degree",48209,49805,61877,51415
"368","Undergraduate Certificate or Diploma",38544,31268,47401,39376
"369","Associate's Degree",38723,28153,48209,33240
"370","Undergraduate Certificate or Diploma",19375,17737,14716,21097
"371","First Professional Degree",48174,49981,66658,63045
"372","Bachelor's Degree",41263,34141,43463,39398
"373","Bachelor's Degree",85209,68362,84492,77573
"374","Bachelor's Degree",45353,34597,61364,48854
"375","Master's Degree",82296,68072,98331,58214
"376","Bachelor's Degree",55139,50758,68871,55196
"377","Bachelor's Degree",57162,57626,64287,59377
"378","First Professional Degree",56519,57290,138590,91072
"379","First Professional Degree",122146,111325,140079,130560
"380","Bachelor's Degree",63249,61595,77386,66524
"381","Master's Degree",117711,90827,114777,103386
"382","Bachelor's Degree",53544,29639,54220,40490
"383","Bachelor's Degree",52429,47130,62628,46532
"384","Bachelor's Degree",37249,35101,53736,51609
"385","Bachelor's Degree",32367,37359,53389,51326
"386","Bachelor's Degree",68797,76349,89805,91936
"387","First Professional Degree",61043,56990,83311,72025
"388","Bachelor's Degree",25738,26183,43987,48725
"389","Bachelor's Degree",25519,29583,50444,50803
"390","Bachelor's Degree",30671,28414,48225,44098
"391","Bachelor's Degree",39371,32203,52507,43886
"392","Bachelor's Degree",32438,26471,55779,55575
"393","Bachelor's Degree",24591,29524,47749,41829
"394","Bachelor's Degree",73962,63459,75244,66316
"395","Bachelor's Degree",53545,47689,74676,61640
"396","Master's Degree",118976,129158,130030,108483
"397","Bachelor's Degree",55211,53494,74843,72923
"398","Bachelor's Degree",52640,54945,70143,61885
"399","Bachelor's Degree",43012,47122,67857,65552
"400","Bachelor's Degree",31800,33232,41208,32815
"401","Bachelor's Degree",28662,28837,51655,37746
"402","Master's Degree",52314,45270,54342,49054
"403","Master's Degree",54975,48873,60946,53392
"404","Graduate/Professional Certificate",62112,54948,68405,60969
"405","Master's Degree",52360,45462,58997,49135
"406","Bachelor's Degree",30709,27341,43647,34165
"407","Master's Degree",68075,50833,76771,54203
"408","Bachelor's Degree",35540,32405,47896,34471
"409","Doctoral Degree",66004,56361,76682,77896
"410","Master's Degree",187113,102676,213381,117670
"411","Bachelor's Degree",42120,27875,49176,43167
"412","Master's Degree",38681,59788,84566,70578
"413","Bachelor's Degree",51234,32081,53899,37619
"414","Master's Degree",40226,36498,45200,46294
"415","Bachelor's Degree",37752,37096,42168,36578
"416","Associate's Degree",42126,23607,42633,33633
"417","Bachelor's Degree",44731,30146,49303,37177
"418","Bachelor's Degree",31298,21975,38170,34801
"419","Bachelor's Degree",65860,59426,71964,61691
"420","Bachelor's Degree",43716,34578,43041,39310
"421","Master's Degree",42002,39165,51061,40942
"422","Master's Degree",40691,41084,48508,43176
"423","Bachelor's Degree",27166,27284,37158,39709
"424","Bachelor's Degree",30358,27764,42909,36343
"425","Bachelor's Degree",41543,35513,53810,46896
"426","Bachelor's Degree",43340,33803,36562,38637
"427","Undergraduate Certificate or Diploma",14769,14531,29256,18966
"428","Associate's Degree",28677,22574,34706,30909
"429","Master's Degree",43736,42063,48985,44014
"430","Bachelor's Degree",28976,20376,50597,40115
"431","Bachelor's Degree",29575,18277,48494,63438
"432","Master's Degree",95839,103892,129335,107311
"433","First Professional Degree",99910,106235,130935,129554
"434","Master's Degree",83147,78448,106154,72861
"435","Bachelor's Degree",55373,60749,68860,75437
"436","Bachelor's Degree",70335,48223,48425,56569
"437","Bachelor's Degree",50918,47300,79065,56044
"438","Master's Degree",77288,71113,102961,89845
"439","Associate's Degree",34110,26182,40335,28413
"440","Associate's Degree",33810,26110,27925,31410
"441","Bachelor's Degree",31313,26035,49536,30630
"442","Bachelor's Degree",36589,33106,45553,38441
"443","Bachelor's Degree",34942,18412,51681,43065
"444","Master's Degree",44305,38258,56976,43699
"445","Bachelor's Degree",44137,56069,95250,54129
"446","Master's Degree",64888,53985,98876,83730
"447","Bachelor's Degree",20065,20621,51941,44203
"448","Master's Degree",28044,38800,55773,48170
"449","Bachelor's Degree",18068,27102,39184,31031
"450","Master's Degree",51596,42622,62637,33879
"451","Associate's Degree",14464,13105,16117,18810
"452","Master's Degree",31000,31705,37128,44114
"453","Undergraduate Certificate or Diploma",12700,16677,12728,12665
"454","Undergraduate Certificate or Diploma",20890,24870,29664,24941
"455","Undergraduate Certificate or Diploma",34113,28924,33296,32468
"456","Undergraduate Certificate or Diploma",28085,25881,31598,28695
"457","Associate's Degree",54249,52801,53770,29067
"458","Associate's Degree",52918,40666,62030,46539
"459","Undergraduate Certificate or Diploma",31856,24234,31927,31918
"460","Undergraduate Certificate or Diploma",18948,15316,26169,19047
"461","Undergraduate Certificate or Diploma",61086,49906,54327,50846
"462","Bachelor's Degree",46199,53917,73371,66320
"463","Undergraduate Certificate or Diploma",11034,14334,21874,18168
"464","Bachelor's Degree",29101,38243,51409,45932
"465","Master's Degree",63053,59131,81300,70293
"466","Bachelor's Degree",25814,19902,45213,38365
"467","Master's Degree",54847,62847,61303,74479
"468","Bachelor's Degree",43470,28623,52549,49719
"469","Bachelor's Degree",16262,27126,44249,43969
"470","Master's Degree",48410,46558,54164,53375
"471","Bachelor's Degree",19748,17585,40705,36540
"472","Doctoral Degree",75908,79081,100053,87790
"473","Bachelor's Degree",101611,92886,117236,105357
"474","Master's Degree",131990,119465,163322,123000
"475","Master's Degree",52841,60341,77358,61146
"476","Bachelor's Degree",51358,44301,67426,54110
"477","Master's Degree",69945,64214,87390,70802
"478","Bachelor's Degree",38467,26921,56706,40184
"479","Bachelor's Degree",22715,28346,39294,39391
"480","Bachelor's Degree",38070,40270,74187,49092
"481","Associate's Degree",33953,25855,36307,27484
"482","Master's Degree",35655,41633,66660,55820
"483","Master's Degree",64804,62677,70551,72860
"484","Bachelor's Degree",42021,30803,44694,37213
"485","Bachelor's Degree",37749,28242,51185,40105
"486","Master's Degree",48916,48542,75396,56355
"487","Bachelor's Degree",36643,35041,75097,46446
"488","Bachelor's Degree",89029,84422,96066,88712
"489","Bachelor's Degree",50274,45733,67030,62870
"490","Master's Degree",67125,60923,85611,73799
"491","Bachelor's Degree",51711,53596,76973,76192
"492","Bachelor's Degree",44311,34895,73124,48055
"493","First Professional Degree",84002,84810,122678,122377
"494","Master's Degree",84396,71547,79300,85911
"495","Bachelor's Degree",21411,30366,49985,43118
"496","Bachelor's Degree",49573,46016,67896,66681
"497","Bachelor's Degree",57274,56432,83915,70763
"498","Bachelor's Degree",29368,31030,60732,52453
"499","Bachelor's Degree",57173,57941,70126,61722
"500","Bachelor's Degree",58111,59127,70400,71709
"501","Bachelor's Degree",76819,75178,91289,97014
"502","Bachelor's Degree",93816,129214,113365,184621
"503","Bachelor's Degree",78443,83362,98508,92917
"504","Bachelor's Degree",69999,84111,104291,104077
"505","Bachelor's Degree",34815,31103,63230,62883
"506","Doctoral Degree",65621,64369,103311,86085
"507","Bachelor's Degree",30085,28512,49961,43245
"508","Bachelor's Degree",47704,29250,59708,50092
"509","Bachelor's Degree",30153,26556,43586,41361
"510","Bachelor's Degree",36054,30636,63554,46227
"511","Bachelor's Degree",35641,27279,31854,43331
"512","Bachelor's Degree",112885,103232,143125,108762
"513","Bachelor's Degree",41200,40727,59127,51906
"514","Master's Degree",76308,73759,111118,77143
"515","Bachelor's Degree",27607,29740,35145,43730
"516","Bachelor's Degree",39928,40198,69524,67552
"517","Bachelor's Degree",28733,29452,48800,47920
"518","Bachelor's Degree",29496,26976,58843,44216
"519","Bachelor's Degree",28055,23635,52322,41172
"520","Bachelor's Degree",28156,23072,43470,39489
"521","Bachelor's Degree",34469,32079,54283,43629
"522","Bachelor's Degree",32479,27213,50249,44090
"523","Bachelor's Degree",34925,27016,46835,41024
"524","Bachelor's Degree",29853,25577,42222,41043
"525","Bachelor's Degree",78660,85866,115857,93202
"526","Bachelor's Degree",47232,33986,53844,48160
"527","Master's Degree",97496,83406,109059,74435
"528","Bachelor's Degree",33388,41779,57991,51031
"529","Bachelor's Degree",44683,34415,60952,52861
"530","Bachelor's Degree",39784,31364,55512,43594
"531","Bachelor's Degree",60290,61270,72181,73104
"532","Bachelor's Degree",31912,29906,39970,52050
"533","Bachelor's Degree",63897,66850,91957,84093
"534","Bachelor's Degree",70758,70450,88154,79155
"535","Bachelor's Degree",65959,67337,86104,85339
"536","Bachelor's Degree",34202,19512,28701,45664
"537","Bachelor's Degree",26284,24397,43919,43438
"538","Bachelor's Degree",27162,32186,51039,49862
"539","Bachelor's Degree",26527,26125,50956,47009
"540","Bachelor's Degree",41355,42789,50074,45874
"541","Bachelor's Degree",24494,23933,41272,41088
"542","Bachelor's Degree",29222,31276,52571,40602
"543","Bachelor's Degree",30388,29748,49112,48439
"544","Bachelor's Degree",34765,31655,38217,46154
"545","Bachelor's Degree",45348,41806,66626,56496
"546","Bachelor's Degree",35964,32504,36355,41595
"547","Bachelor's Degree",24861,23505,48080,42645
"548","Bachelor's Degree",50091,39118,67745,56545
"549","Bachelor's Degree",33176,36147,51460,47671
"550","Bachelor's Degree",37053,38114,36211,46989
"551","Bachelor's Degree",31629,29274,47867,50571
"552","Bachelor's Degree",33433,31083,50907,53778
"553","Bachelor's Degree",26055,25326,43920,41343
"554","Bachelor's Degree",30126,29680,41560,41736
"555","Bachelor's Degree",36270,34907,51120,48046
"556","Bachelor's Degree",35056,38802,55689,46759
"557","Bachelor's Degree",29131,32882,43835,44516
"558","Bachelor's Degree",46275,37425,63991,45299
"559","Bachelor's Degree",103450,101456,125736,100382
"560","Bachelor's Degree",47241,43649,67735,63851
"561","Bachelor's Degree",58150,58050,70914,63929
"562","Master's Degree",63323,59308,92129,86804
