"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"8191","Bachelor's Degree",19978,22551,42114,51286
"8192","Bachelor's Degree",34824,31647,47807,51237
"8193","Master's Degree",41966,46840,44086,41782
"8194","Bachelor's Degree",24732,29061,51246,45888
"8195","Bachelor's Degree",20260,26852,56295,67178
"8196","Bachelor's Degree",27448,25118,50688,61961
"8197","Bachelor's Degree",56788,60932,77788,58645
"8198","Master's Degree",100610,97633,116138,129539
"8199","Bachelor's Degree",63040,65482,82384,80797
"8200","Master's Degree",62549,63878,93592,82954
"8201","Bachelor's Degree",50967,41444,87538,59173
"8202","Bachelor's Degree",61850,69419,90886,67854
"8203","Bachelor's Degree",69202,67833,89623,99818
"8204","Bachelor's Degree",44356,53196,62983,58954
"8205","Bachelor's Degree",50269,41907,56814,54865
"8206","Associate's Degree",31912,20378,35541,26659
"8207","Undergraduate Certificate or Diploma",16070,20665,30236,26649
"8208","Undergraduate Certificate or Diploma",25737,21429,32334,28175
"8209","Undergraduate Certificate or Diploma",24574,21785,31287,26014
"8210","Associate's Degree",26657,26300,40279,35857
"8211","Associate's Degree",29765,24307,26938,24284
"8212","Associate's Degree",43528,31528,50984,37207
"8213","Master's Degree",57837,56409,63963,58114
"8214","Bachelor's Degree",46538,42612,61611,57009
"8215","Master's Degree",75754,68068,87650,76104
"8216","Associate's Degree",30662,25168,40813,38114
"8217","Bachelor's Degree",27037,30887,35483,33689
"8218","Bachelor's Degree",31322,24539,38816,39730
"8219","Bachelor's Degree",51920,43682,54724,48104
"8220","Bachelor's Degree",37959,22018,45495,43870
"8221","Bachelor's Degree",35916,35142,51604,37912
"8222","Bachelor's Degree",70942,64448,81154,67705
"8223","Bachelor's Degree",40718,40795,59299,49536
"8224","Bachelor's Degree",36361,40896,67369,44796
"8225","Bachelor's Degree",37879,28822,49869,41065
"8226","Undergraduate Certificate or Diploma",18813,18846,20649,24013
"8227","Master's Degree",61575,50994,49700,54194
"8228","Bachelor's Degree",42722,48306,63162,54675
"8229","Master's Degree",57778,65305,104871,69551
"8230","Master's Degree",81979,76950,104092,90088
"8231","Bachelor's Degree",44315,31284,49394,35642
"8232","Master's Degree",60193,55351,73203,57648
"8233","Bachelor's Degree",38643,32749,46335,36813
"8234","Bachelor's Degree",46952,42903,53034,46215
"8235","Bachelor's Degree",41511,25596,46758,41399
"8236","Bachelor's Degree",31438,29130,44670,38165
"8237","Bachelor's Degree",50096,38476,72530,47030
"8238","Master's Degree",86921,72230,95075,77301
"8239","Master's Degree",61182,67285,73044,86099
"8240","Undergraduate Certificate or Diploma",44794,35558,34987,34056
"8241","Associate's Degree",33401,30220,45165,38689
"8242","Associate's Degree",40558,29784,39606,38685
"8243","Associate's Degree",58404,57733,71701,61265
"8244","Associate's Degree",70380,64418,71905,66649
"8245","Undergraduate Certificate or Diploma",34163,41828,41733,45144
"8246","Undergraduate Certificate or Diploma",45680,37344,41032,44975
"8247","Associate's Degree",23533,24312,34041,29154
"8248","Associate's Degree",25105,17151,22820,21385
"8249","Associate's Degree",25125,19478,35515,26146
"8250","Associate's Degree",57506,50719,62436,54823
"8251","Associate's Degree",24032,24466,34030,34240
"8252","Undergraduate Certificate or Diploma",24005,21438,28302,22385
"8253","Undergraduate Certificate or Diploma",24005,21438,28302,22385
"8254","Bachelor's Degree",28451,32590,52710,48159
"8255","Associate's Degree",29085,22593,30676,26088
"8256","Bachelor's Degree",35811,28364,38756,35184
"8257","Associate's Degree",21574,18077,28543,24047
"8258","Bachelor's Degree",25864,27817,38979,38596
"8259","Bachelor's Degree",21417,18713,28111,26880
"8260","Bachelor's Degree",20622,19930,31980,33382
"8261","Undergraduate Certificate or Diploma",72442,62561,73777,68945
"8262","Associate's Degree",30376,25224,37073,32957
"8263","Associate's Degree",20616,20257,30682,30913
"8264","Bachelor's Degree",52863,51219,60083,52563
"8265","Bachelor's Degree",39158,34591,50466,40535
"8266","Master's Degree",56228,47122,78228,76406
"8267","Bachelor's Degree",45832,36575,61997,51937
"8268","Master's Degree",90463,61851,92552,88595
"8269","Bachelor's Degree",48487,48272,62469,59342
"8270","Associate's Degree",30844,27326,41771,38741
"8271","Associate's Degree",58594,19892,57728,34422
"8272","Associate's Degree",54728,44775,58401,50448
"8273","Undergraduate Certificate or Diploma",60388,51120,70029,63667
"8274","Associate's Degree",56634,59836,77607,58855
"8275","Associate's Degree",33613,30956,54671,36965
"8276","Bachelor's Degree",39019,34696,48638,48191
"8277","Bachelor's Degree",50592,43868,55462,52520
"8278","Bachelor's Degree",37878,33556,52724,47828
"8279","Bachelor's Degree",41755,35030,59275,47695
"8280","Bachelor's Degree",50128,46421,66060,57830
"8281","Master's Degree",76277,66214,80229,73276
"8282","Bachelor's Degree",50685,45561,60113,60778
"8283","Bachelor's Degree",50799,43172,59299,61692
"8284","Bachelor's Degree",51975,47126,71694,57931
"8285","Bachelor's Degree",57101,36954,55050,61081
"8286","Bachelor's Degree",46386,43538,62086,46193
"8287","Master's Degree",90224,72921,88997,74762
"8288","Bachelor's Degree",34873,40043,60877,54173
"8289","Bachelor's Degree",48611,44919,58688,57571
"8290","Bachelor's Degree",29465,32978,46951,41918
"8291","Bachelor's Degree",25443,23995,35517,36882
"8292","Bachelor's Degree",38057,39489,46537,50400
"8293","Bachelor's Degree",54219,60987,79741,83875
"8294","Bachelor's Degree",24095,37182,50367,50788
"8295","Doctoral Degree",109276,82275,108509,102875
"8296","Bachelor's Degree",62509,60700,76435,66049
"8297","First Professional Degree",77347,92080,106939,106936
"8298","Bachelor's Degree",34043,35849,48105,46237
"8299","Bachelor's Degree",40575,40406,56994,61083
"8300","Bachelor's Degree",46104,49864,60200,56827
"8301","Bachelor's Degree",52888,52209,52833,53219
"8302","Bachelor's Degree",28679,30173,51431,45119
"8303","Bachelor's Degree",41633,36991,57331,66487
"8304","Bachelor's Degree",31896,29913,47920,45203
"8305","Master's Degree",49480,50492,60041,55943
"8306","Bachelor's Degree",44822,55968,64284,54536
"8307","Bachelor's Degree",28360,36169,51595,52772
"8308","Bachelor's Degree",46077,38670,60368,45067
"8309","Bachelor's Degree",23370,29760,41518,40696
"8310","Bachelor's Degree",52803,50787,56263,52477
